distance,rightFront,rightDia,leftDia,leftFront
16,205,7,7,99
15,226,7,7,111
14,258,7,7,130
13,287,7,12,148
12,328,9,7,171
11,375,8,7,200
10,439,9,8,238
9,513,10,8,290
8,618,11,9,360
7,728,15,11,424
6,898,53,13,557
5,1107,175,21,742
4,1401,422,93,972
3,1739,737,299,1282
2,2187,1485,672,1922
1,2378,2304,956,2468
0,1888,1327,703,2692
